Code,Name,Country,Exchange,Currency,Type
2062,Harbour-Link Group Berhad,Malaysia,KLSE,MYR,Common Stock
2089,United Plantations Bhd,Malaysia,KLSE,MYR,Common Stock
2097,EastLand Equity Bhd,Malaysia,KLSE,MYR,Common Stock
2127,Comfort Gloves Berhad,Malaysia,KLSE,MYR,Common Stock
2135,Gopeng Bhd,Malaysia,KLSE,MYR,Common Stock
2143,ECM Libra Financial Group Berhad,Malaysia,KLSE,MYR,Common Stock
2186,Kuchai Development Bhd,Malaysia,KLSE,MYR,Common Stock
2194,MMC Corporation Bhd,Malaysia,KLSE,MYR,Common Stock
2216,IJM Plantations Berhad,Malaysia,KLSE,MYR,Common Stock
2224,Selangor Dredging Bhd,Malaysia,KLSE,MYR,Common Stock
2259,Talam Transform Berhad,Malaysia,KLSE,MYR,Common Stock
2283,Zelan Berhad (27676-V),Malaysia,KLSE,MYR,Common Stock
2291,Genting Plantations Berhad,Malaysia,KLSE,MYR,Common Stock
2305,AYER Holdings Bhd,Malaysia,KLSE,MYR,Common Stock
2429,Tanco Holdings Bhd,Malaysia,KLSE,MYR,Common Stock
2445,Kuala Lumpur Kepong Berhad,Malaysia,KLSE,MYR,Common Stock
2453,Kluang Rubber Company (Malaya) Bhd,Malaysia,KLSE,MYR,Common Stock
2488,Alliance Financial Group Berhad,Malaysia,KLSE,MYR,Common Stock
2542,"Riverview Rubber Estates, Berhad",Malaysia,KLSE,MYR,Common Stock
2569,Sungei Bagan Rubber Co. Malaya Bhd,Malaysia,KLSE,MYR,Common Stock
2593,United Malacca Bhd,Malaysia,KLSE,MYR,Common Stock
2607,Inch Kenneth Kajang Rubber Public Limited Company,Malaysia,KLSE,MYR,Common Stock
2658,Ajinomoto Malaysia Bhd,Malaysia,KLSE,MYR,Common Stock
2674,Aluminium Co. of Malaysia Bhd,Malaysia,KLSE,MYR,Common Stock
2682,Amalgamated Industrial Steel Berhad,Malaysia,KLSE,MYR,Common Stock
2739,Sino Hua-An International Bhd,Malaysia,KLSE,MYR,Common Stock
2755,FCW Holdings Bhd,Malaysia,KLSE,MYR,Common Stock
2771,Boustead Holdings Bhd,Malaysia,KLSE,MYR,Common Stock
2828,CI Holdings Bhd,Malaysia,KLSE,MYR,Common Stock
2836,Carlsberg Brewery Malaysia Bhd,Malaysia,KLSE,MYR,Common Stock
2852,Cahya Mata Sarawak Bhd,Malaysia,KLSE,MYR,Common Stock
2879,Chemical Co. of Malaysia Bhd,Malaysia,KLSE,MYR,Common Stock
2925,Cycle & Carriage Bintang Bhd,Malaysia,KLSE,MYR,Common Stock
2984,FACB Industries Inc. Bhd,Malaysia,KLSE,MYR,Common Stock
3018,Olympia Industries Berhad,Malaysia,KLSE,MYR,Common Stock
3026,Dutch Lady Milk Industries Bhd,Malaysia,KLSE,MYR,Common Stock
3034,Hap Seng Consolidated Berhad,Malaysia,KLSE,MYR,Common Stock
3042,Petron Malaysia Refining & Marketing Bhd,Malaysia,KLSE,MYR,Common Stock
3069,Mega First Corp. Bhd,Malaysia,KLSE,MYR,Common Stock
3107,Fima Corp. Bhd,Malaysia,KLSE,MYR,Common Stock
3158,Ynh Property Berhad,Malaysia,KLSE,MYR,Common Stock
3174,Land & General Bhd,Malaysia,KLSE,MYR,Common Stock
3182,Genting Berhad,Malaysia,KLSE,MYR,Common Stock
